연번,노선ID,노선명,정류장ID,정류장명,정류장 순서,위도,경도
1,293000303,B0(순환)번 (내부순환+시청방면),293064221,세종고속시외버스터미널(지하),1,36.4706404,127.273189
2,293000303,B0(순환)번 (내부순환+시청방면),293064252,대평동,2,36.472148,127.276445
3,293000303,B0(순환)번 (내부순환+시청방면),293064206,보람동+대평동,3,36.4749413,127.2807336
4,293000303,B0(순환)번 (내부순환+시청방면),293064210,시청+시의회+교육청+세무서,4,36.478356,127.288188
5,293000303,B0(순환)번 (내부순환+시청방면),293064216,소담동 새샘마을,5,36.4826387,127.2977367
6,293000303,B0(순환)번 (내부순환+시청방면),293064253,법원+검찰청+경찰청,6,36.487095,127.301744
7,293000303,B0(순환)번 (내부순환+시청방면),293064255,국책연구단지,7,36.4913263,127.304
8,293000303,B0(순환)번 (내부순환+시청방면),293064258,반곡동(수루배마을),8,36.497535,127.310959
9,293000303,B0(순환)번 (내부순환+시청방면),293064419,집현동,9,36.497917,127.321985
10,293000303,B0(순환)번 (내부순환+시청방면),293064417,산학연클러스터,10,36.500789,127.328331
11,293000303,B0(순환)번 (내부순환+시청방면),293064492,다솜동,11,36.5317939,127.3202744
12,293000303,B0(순환)번 (내부순환+시청방면),293014058,누리동,12,36.5341,127.292158
13,293000303,B0(순환)번 (내부순환+시청방면),293014026,한별동,13,36.5341,127.27661
14,293000303,B0(순환)번 (내부순환+시청방면),293014017,해밀동,14,36.52963,127.26478
15,293000303,B0(순환)번 (내부순환+시청방면),293064446,세종충남대학교병원,15,36.521617,127.259736
16,293000303,B0(순환)번 (내부순환+시청방면),293056002,도담동,16,36.51483,127.25896
17,293000303,B0(순환)번 (내부순환+시청방면),293062014,정부세종청사북측,17,36.5050692,127.2615051
18,293000303,B0(순환)번 (내부순환+시청방면),293062007,정부세종청사남측,18,36.50173,127.25991
19,293000303,B0(순환)번 (내부순환+시청방면),293062004,다정동,19,36.49491,127.25649
20,293000303,B0(순환)번 (내부순환+시청방면),293053004,새롬동+나성동,20,36.48771,127.25729
21,293000303,B0(순환)번 (내부순환+시청방면),293053009,한솔동,21,36.4810822,127.2617829
22,293000303,B0(순환)번 (내부순환+시청방면),293064221,세종고속시외버스터미널(지하),22,36.4706404,127.273189
23,293000302,B0(순환)번 (내부순환+청사방면),293064220,세종고속시외버스터미널(지하),1,36.4708162,127.2731717
24,293000302,B0(순환)번 (내부순환+청사방면),293053011,한솔동,2,36.48034,127.26243
25,293000302,B0(순환)번 (내부순환+청사방면),293053005,새롬동+나성동(청소년센터),3,36.48685,127.25785
26,293000302,B0(순환)번 (내부순환+청사방면),293054003,다정동,4,36.4939251,127.2563976
27,293000302,B0(순환)번 (내부순환+청사방면),293062006,정부세종청사남측,5,36.5008869,127.2596196
28,293000302,B0(순환)번 (내부순환+청사방면),293062011,정부세종청사북측,6,36.504176,127.2611617
29,293000302,B0(순환)번 (내부순환+청사방면),293056003,도담동,7,36.5140662,127.259188
30,293000302,B0(순환)번 (내부순환+청사방면),293064445,세종충남대학교병원,8,36.520517,127.259481
31,293000302,B0(순환)번 (내부순환+청사방면),293014014,해밀동,9,36.528653,127.2638902
32,293000302,B0(순환)번 (내부순환+청사방면),293014025,한별동,10,36.53377,127.27527
33,293000302,B0(순환)번 (내부순환+청사방면),293064420,누리동,11,36.533978,127.29214
34,293000302,B0(순환)번 (내부순환+청사방면),293064493,다솜동,12,36.5319645,127.3198216
35,293000302,B0(순환)번 (내부순환+청사방면),293064416,산학연클러스터,13,36.501718,127.328826
36,293000302,B0(순환)번 (내부순환+청사방면),293064418,집현동,14,36.498135,127.322785
37,293000302,B0(순환)번 (내부순환+청사방면),293064257,반곡동(수루배마을),15,36.497739,127.312279
38,293000302,B0(순환)번 (내부순환+청사방면),293064261,국책연구단지,16,36.492195,127.304331
39,293000302,B0(순환)번 (내부순환+청사방면),293064254,법원+검찰청+경찰청,17,36.486842,127.301429
40,293000302,B0(순환)번 (내부순환+청사방면),293064214,소담동 새샘마을,18,36.4824576,127.2972683
41,293000302,B0(순환)번 (내부순환+청사방면),293064211,시청+시의회+교육청+세무서,19,36.478674,127.288769
42,293000302,B0(순환)번 (내부순환+청사방면),293064209,보람동+대평동,20,36.4756055,127.2816359
43,293000302,B0(순환)번 (내부순환+청사방면),293064251,대평동,21,36.472267,127.276406
44,293000302,B0(순환)번 (내부순환+청사방면),293064220,세종고속시외버스터미널(지하),22,36.4708162,127.2731717
45,293000305,B0(터미널)번 (터미널행+시청방면),293055002,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
46,293000305,B0(터미널)번 (터미널행+시청방면),293064252,대평동,2,36.472148,127.276445
47,293000305,B0(터미널)번 (터미널행+시청방면),293064206,보람동+대평동,3,36.4749413,127.2807336
48,293000305,B0(터미널)번 (터미널행+시청방면),293064210,시청+시의회+교육청+세무서,4,36.478356,127.288188
49,293000305,B0(터미널)번 (터미널행+시청방면),293064216,소담동 새샘마을,5,36.4826387,127.2977367
50,293000305,B0(터미널)번 (터미널행+시청방면),293064253,법원+검찰청+경찰청,6,36.487095,127.301744
51,293000305,B0(터미널)번 (터미널행+시청방면),293064255,국책연구단지,7,36.4913263,127.304
52,293000305,B0(터미널)번 (터미널행+시청방면),293064258,반곡동(수루배마을),8,36.497535,127.310959
53,293000305,B0(터미널)번 (터미널행+시청방면),293064419,집현동,9,36.497917,127.321985
54,293000305,B0(터미널)번 (터미널행+시청방면),293064417,산학연클러스터,10,36.500789,127.328331
55,293000305,B0(터미널)번 (터미널행+시청방면),293064492,다솜동,11,36.5317939,127.3202744
56,293000305,B0(터미널)번 (터미널행+시청방면),293014058,누리동,12,36.5341,127.292158
57,293000305,B0(터미널)번 (터미널행+시청방면),293014026,한별동,13,36.5341,127.27661
58,293000305,B0(터미널)번 (터미널행+시청방면),293014017,해밀동,14,36.52963,127.26478
59,293000305,B0(터미널)번 (터미널행+시청방면),293064446,세종충남대학교병원,15,36.521617,127.259736
60,293000305,B0(터미널)번 (터미널행+시청방면),293056002,도담동,16,36.51483,127.25896
61,293000305,B0(터미널)번 (터미널행+시청방면),293062014,정부세종청사북측,17,36.5050692,127.2615051
62,293000305,B0(터미널)번 (터미널행+시청방면),293062007,정부세종청사남측,18,36.50173,127.25991
63,293000305,B0(터미널)번 (터미널행+시청방면),293062004,다정동,19,36.49491,127.25649
64,293000305,B0(터미널)번 (터미널행+시청방면),293053004,새롬동+나성동,20,36.48771,127.25729
65,293000305,B0(터미널)번 (터미널행+시청방면),293053009,한솔동,21,36.4810822,127.2617829
66,293000305,B0(터미널)번 (터미널행+시청방면),293064221,세종고속시외버스터미널(지하),22,36.4706404,127.273189
67,293000305,B0(터미널)번 (터미널행+시청방면),293055001,세종고속시외버스터미널(지상),23,36.469265,127.2738136
68,293000304,B0(터미널)번 (터미널행+청사방면),293055002,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
69,293000304,B0(터미널)번 (터미널행+청사방면),293064220,세종고속시외버스터미널(지하),2,36.4708162,127.2731717
70,293000304,B0(터미널)번 (터미널행+청사방면),293053011,한솔동,3,36.48034,127.26243
71,293000304,B0(터미널)번 (터미널행+청사방면),293053005,새롬동+나성동(청소년센터),4,36.48685,127.25785
72,293000304,B0(터미널)번 (터미널행+청사방면),293054003,다정동,5,36.4939251,127.2563976
73,293000304,B0(터미널)번 (터미널행+청사방면),293062006,정부세종청사남측,6,36.5008869,127.2596196
74,293000304,B0(터미널)번 (터미널행+청사방면),293062011,정부세종청사북측,7,36.504176,127.2611617
75,293000304,B0(터미널)번 (터미널행+청사방면),293056003,도담동,8,36.5140662,127.259188
76,293000304,B0(터미널)번 (터미널행+청사방면),293064445,세종충남대학교병원,9,36.520517,127.259481
77,293000304,B0(터미널)번 (터미널행+청사방면),293014014,해밀동,10,36.528653,127.2638902
78,293000304,B0(터미널)번 (터미널행+청사방면),293014025,한별동,11,36.53377,127.27527
79,293000304,B0(터미널)번 (터미널행+청사방면),293064420,누리동,12,36.533978,127.29214
80,293000304,B0(터미널)번 (터미널행+청사방면),293064493,다솜동,13,36.5319645,127.3198216
81,293000304,B0(터미널)번 (터미널행+청사방면),293064416,산학연클러스터,14,36.501718,127.328826
82,293000304,B0(터미널)번 (터미널행+청사방면),293064418,집현동,15,36.498135,127.322785
83,293000304,B0(터미널)번 (터미널행+청사방면),293064257,반곡동(수루배마을),16,36.497739,127.312279
84,293000304,B0(터미널)번 (터미널행+청사방면),293064261,국책연구단지,17,36.492195,127.304331
85,293000304,B0(터미널)번 (터미널행+청사방면),293064254,법원+검찰청+경찰청,18,36.486842,127.301429
86,293000304,B0(터미널)번 (터미널행+청사방면),293064214,소담동 새샘마을,19,36.4824576,127.2972683
87,293000304,B0(터미널)번 (터미널행+청사방면),293064211,시청+시의회+교육청+세무서,20,36.478674,127.288769
88,293000304,B0(터미널)번 (터미널행+청사방면),293064209,보람동+대평동,21,36.4756055,127.2816359
89,293000304,B0(터미널)번 (터미널행+청사방면),293064251,대평동,22,36.472267,127.276406
90,293000304,B0(터미널)번 (터미널행+청사방면),293055001,세종고속시외버스터미널(지상),23,36.469265,127.2738136
91,293000077,B2번 (반석역~오송역),186004230,반석역,1,36.39142,127.31514
92,293000077,B2번 (반석역~오송역),293055002,세종고속시외버스터미널(지상),2,36.4693014,127.2740033
93,293000077,B2번 (반석역~오송역),293064220,세종고속시외버스터미널(지하),3,36.4708162,127.2731717
94,293000077,B2번 (반석역~오송역),293053011,한솔동,4,36.48034,127.26243
95,293000077,B2번 (반석역~오송역),293053005,새롬동+나성동(청소년센터),5,36.48685,127.25785
96,293000077,B2번 (반석역~오송역),293054003,다정동,6,36.4939251,127.2563976
97,293000077,B2번 (반석역~오송역),293062006,정부세종청사남측,7,36.5008869,127.2596196
98,293000077,B2번 (반석역~오송역),293062011,정부세종청사북측,8,36.504176,127.2611617
99,293000077,B2번 (반석역~오송역),293056003,도담동,9,36.5140662,127.259188
100,293000077,B2번 (반석역~오송역),293064445,세종충남대학교병원,10,36.520517,127.259481
101,293000077,B2번 (반석역~오송역),293014014,해밀동,11,36.528653,127.2638902
102,293000077,B2번 (반석역~오송역),293014025,한별동,12,36.53377,127.27527
103,293000077,B2번 (반석역~오송역),293064420,누리동,13,36.533978,127.29214
104,293000077,B2번 (반석역~오송역),274002060,오송역,14,36.619199,127.327217
105,293000323,B2번 (세종고속시외버스터미널~오송역),293055002,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
106,293000323,B2번 (세종고속시외버스터미널~오송역),293064220,세종고속시외버스터미널(지하),2,36.4708162,127.2731717
107,293000323,B2번 (세종고속시외버스터미널~오송역),293053011,한솔동,3,36.48034,127.26243
108,293000323,B2번 (세종고속시외버스터미널~오송역),293053005,새롬동+나성동(청소년센터),4,36.48685,127.25785
109,293000323,B2번 (세종고속시외버스터미널~오송역),293054003,다정동,5,36.4939251,127.2563976
110,293000323,B2번 (세종고속시외버스터미널~오송역),293062006,정부세종청사남측,6,36.5008869,127.2596196
111,293000323,B2번 (세종고속시외버스터미널~오송역),293062011,정부세종청사북측,7,36.504176,127.2611617
112,293000323,B2번 (세종고속시외버스터미널~오송역),293056003,도담동,8,36.5140662,127.259188
113,293000323,B2번 (세종고속시외버스터미널~오송역),293064445,세종충남대학교병원,9,36.520517,127.259481
114,293000323,B2번 (세종고속시외버스터미널~오송역),293014014,해밀동,10,36.528653,127.2638902
115,293000323,B2번 (세종고속시외버스터미널~오송역),293014025,한별동,11,36.53377,127.27527
116,293000323,B2번 (세종고속시외버스터미널~오송역),293064420,누리동,12,36.533978,127.29214
117,293000323,B2번 (세종고속시외버스터미널~오송역),274002060,오송역,13,36.619199,127.327217
118,293000099,B2번 (오송역~반석역),274002060,오송역,1,36.619199,127.327217
119,293000099,B2번 (오송역~반석역),293014058,누리동,2,36.5341,127.292158
120,293000099,B2번 (오송역~반석역),293014026,한별동,3,36.5341,127.27661
121,293000099,B2번 (오송역~반석역),293014017,해밀동,4,36.52963,127.26478
122,293000099,B2번 (오송역~반석역),293064446,세종충남대학교병원,5,36.521617,127.259736
123,293000099,B2번 (오송역~반석역),293056002,도담동,6,36.51483,127.25896
124,293000099,B2번 (오송역~반석역),293062014,정부세종청사북측,7,36.5050692,127.2615051
125,293000099,B2번 (오송역~반석역),293062007,정부세종청사남측,8,36.50173,127.25991
126,293000099,B2번 (오송역~반석역),293062004,다정동,9,36.49491,127.25649
127,293000099,B2번 (오송역~반석역),293053004,새롬동+나성동,10,36.48771,127.25729
128,293000099,B2번 (오송역~반석역),293053009,한솔동,11,36.4810822,127.2617829
129,293000099,B2번 (오송역~반석역),293064221,세종고속시외버스터미널(지하),12,36.4706404,127.273189
130,293000099,B2번 (오송역~반석역),293055001,세종고속시외버스터미널(지상),13,36.469265,127.2738136
131,293000099,B2번 (오송역~반석역),186004229,반석역,14,36.39155,127.31487
132,293000317,B4번 (반석역~오송역),186004230,반석역,1,36.39142,127.31514
133,293000317,B4번 (반석역~오송역),293055002,세종고속시외버스터미널(지상),2,36.4693014,127.2740033
134,293000317,B4번 (반석역~오송역),293064252,대평동,3,36.472148,127.276445
135,293000317,B4번 (반석역~오송역),293064206,보람동+대평동,4,36.4749413,127.2807336
136,293000317,B4번 (반석역~오송역),293064210,시청+시의회+교육청+세무서,5,36.478356,127.288188
137,293000317,B4번 (반석역~오송역),293064216,소담동 새샘마을,6,36.4826387,127.2977367
138,293000317,B4번 (반석역~오송역),293064253,법원+검찰청+경찰청,7,36.487095,127.301744
139,293000317,B4번 (반석역~오송역),293064255,국책연구단지,8,36.4913263,127.304
140,293000317,B4번 (반석역~오송역),293064258,반곡동(수루배마을),9,36.497535,127.310959
141,293000317,B4번 (반석역~오송역),293064419,집현동,10,36.497917,127.321985
142,293000317,B4번 (반석역~오송역),293064417,산학연클러스터,11,36.500789,127.328331
143,293000317,B4번 (반석역~오송역),293064492,다솜동,12,36.5317939,127.3202744
144,293000317,B4번 (반석역~오송역),274002060,오송역,13,36.619199,127.327217
145,293000318,B4번 (오송역~반석역),274002060,오송역,1,36.619199,127.327217
146,293000318,B4번 (오송역~반석역),293064493,다솜동,2,36.5319645,127.3198216
147,293000318,B4번 (오송역~반석역),293064416,산학연클러스터,3,36.501718,127.328826
148,293000318,B4번 (오송역~반석역),293064418,집현동,4,36.498135,127.322785
149,293000318,B4번 (오송역~반석역),293064257,반곡동(수루배마을),5,36.497739,127.312279
150,293000318,B4번 (오송역~반석역),293064261,국책연구단지,6,36.492195,127.304331
151,293000318,B4번 (오송역~반석역),293064254,법원+검찰청+경찰청,7,36.486842,127.301429
152,293000318,B4번 (오송역~반석역),293064214,소담동 새샘마을,8,36.4824576,127.2972683
153,293000318,B4번 (오송역~반석역),293064211,시청+시의회+교육청+세무서,9,36.478674,127.288769
154,293000318,B4번 (오송역~반석역),293064209,보람동+대평동,10,36.4756055,127.2816359
155,293000318,B4번 (오송역~반석역),293064251,대평동,11,36.472267,127.276406
156,293000318,B4번 (오송역~반석역),293055001,세종고속시외버스터미널(지상),12,36.469265,127.2738136
157,293000318,B4번 (오송역~반석역),186004229,반석역,13,36.39155,127.31487
158,293000312,B5번 B5(아름동방면),293055002,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
159,293000312,B5번 B5(아름동방면),293064220,세종고속시외버스터미널(지하),2,36.4708162,127.2731717
160,293000312,B5번 B5(아름동방면),293053010,한솔동(첫마을),3,36.4812897,127.2618716
161,293000312,B5번 B5(아름동방면),293053006,새롬동+나성동,4,36.4868848,127.2579693
162,293000312,B5번 B5(아름동방면),293064435,한국산업인력공단(세종지사),5,36.490395,127.256809
163,293000312,B5번 B5(아름동방면),293053001,다정동(대성고등학교),6,36.4938489,127.2565765
164,293000312,B5번 B5(아름동방면),293062003,어진중학교(가재마을9단지),7,36.4989327,127.2549113
165,293000312,B5번 B5(아름동방면),293063002,가재마을5단지+가온마을6단지,8,36.4994482,127.2466099
166,293000312,B5번 B5(아름동방면),293064144,다빛초등학교(가재마을1단지),9,36.4997313,127.2424127
167,293000312,B5번 B5(아름동방면),293064474,종촌초등학교(가재마을3단지),10,36.5038057,127.2413842
168,293000312,B5번 B5(아름동방면),293064475,가락마을8단지+가재마을4단지,11,36.5076286,127.2416171
169,293000312,B5번 B5(아름동방면),293064204,고운뜰공원+대법원등기정보센터,12,36.511388,127.241627
170,293000312,B5번 B5(아름동방면),293064476,아름제2중(가락마을20단지),13,36.5166984,127.2418662
171,293000312,B5번 B5(아름동방면),293064099,범지기3+9단지(청소년센터),14,36.518782,127.2444672
172,293000312,B5번 B5(아름동방면),293064101,범지기마을10단지북측,15,36.5189898,127.2489006
173,293000312,B5번 B5(아름동방면),293064052,세종충남대병원,16,36.5187208,127.2561613
174,293000312,B5번 B5(아름동방면),293056001,도담동(도램마을),17,36.5149714,127.2587943
175,293000312,B5번 B5(아름동방면),293064109,도램마을8+10단지,18,36.5119283,127.2595385
176,293000312,B5번 B5(아름동방면),293062016,도램마을9단지,19,36.5084834,127.2624829
177,293000312,B5번 B5(아름동방면),293900007,양지고등학교,20,36.5074521,127.268335
178,293000312,B5번 B5(아름동방면),293900010,세종소방서,21,36.5061679,127.2722563
179,293000312,B5번 B5(아름동방면),293900011,전통문화체험관,22,36.5038919,127.2832104
180,293000312,B5번 B5(아름동방면),293900014,세종연구단지,23,36.4960327,127.3053012
181,293000312,B5번 B5(아름동방면),293064400,반곡동(수루배마을),24,36.497338,127.310767
182,293000312,B5번 B5(아름동방면),293064512,반곡고등학교,25,36.49733,127.31655
183,293000312,B5번 B5(아름동방면),293064479,집현동,26,36.49804,127.32304
184,293000312,B5번 B5(아름동방면),293900016,새나루마을10단지,27,36.4937495,127.3252565
185,293000312,B5번 B5(아름동방면),293011069,새나루마을9단지,28,36.4908651,127.3243797
186,293000312,B5번 B5(아름동방면),293011067,새나루마을8단지,29,36.4892,127.32362
187,293000312,B5번 B5(아름동방면),293011064,새나루마을1단지,30,36.48595,127.32072
188,293000312,B5번 B5(아름동방면),293900017,새나루마을1단지(후문),31,36.4840122,127.3174727
189,293000312,B5번 B5(아름동방면),293060004,한국개발연구원(KDI),32,36.4825782,127.3074549
190,293000312,B5번 B5(아름동방면),293064364,새샘마을6단지,33,36.4852332,127.3036516
191,293000312,B5번 B5(아름동방면),293064214,소담동 새샘마을,34,36.4824576,127.2972683
192,293000312,B5번 B5(아름동방면),293064211,시청+시의회+교육청+세무서,35,36.478674,127.288769
193,293000312,B5번 B5(아름동방면),293064209,보람동+대평동,36,36.4756055,127.2816359
194,293000312,B5번 B5(아름동방면),293064251,대평동,37,36.472267,127.276406
195,293000312,B5번 B5(아름동방면),293055001,세종고속시외버스터미널(지상),38,36.469265,127.2738136
196,293000311,B5번 B5(집현동방면),293055002,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
197,293000311,B5번 B5(집현동방면),293064252,대평동,2,36.472148,127.276445
198,293000311,B5번 B5(집현동방면),293064206,보람동+대평동,3,36.4749413,127.2807336
199,293000311,B5번 B5(집현동방면),293064210,시청+시의회+교육청+세무서,4,36.478356,127.288188
200,293000311,B5번 B5(집현동방면),293064216,소담동 새샘마을,5,36.4826387,127.2977367
201,293000311,B5번 B5(집현동방면),293064365,새샘마을6단지,6,36.4848875,127.3033124
202,293000311,B5번 B5(집현동방면),293900019,한국개발연구원(KDI),7,36.4819656,127.3084015
203,293000311,B5번 B5(집현동방면),293900018,새나루마을1단지(후문),8,36.4837674,127.3176229
204,293000311,B5번 B5(집현동방면),293011066,새나루마을1단지,9,36.48592,127.32104
205,293000311,B5번 B5(집현동방면),293011068,새나루마을8단지,10,36.48908,127.32385
206,293000311,B5번 B5(집현동방면),293011070,새나루마을9단지,11,36.4908357,127.3247427
207,293000311,B5번 B5(집현동방면),293900015,새나루마을10단지,12,36.4937474,127.3255569
208,293000311,B5번 B5(집현동방면),293064480,집현동,13,36.49818,127.32136
209,293000311,B5번 B5(집현동방면),293064511,반곡고등학교,14,36.4978363,127.3161531
210,293000311,B5번 B5(집현동방면),293064401,반곡동(수루배마을),15,36.497847,127.312253
211,293000311,B5번 B5(집현동방면),293900013,세종연구단지,16,36.4962997,127.3055641
212,293000311,B5번 B5(집현동방면),293900012,전통문화체험관,17,36.5038217,127.2854098
213,293000311,B5번 B5(집현동방면),293900009,세종소방서,18,36.5064823,127.272369
214,293000311,B5번 B5(집현동방면),293900008,양지고등학교,19,36.5083429,127.2670152
215,293000311,B5번 B5(집현동방면),293056005,성금교차로(도램마을9단지),20,36.5091666,127.2615149
216,293000311,B5번 B5(집현동방면),293064110,도램마을8+10단지,21,36.5121473,127.2599592
217,293000311,B5번 B5(집현동방면),293056004,도담동(도램마을),22,36.514017,127.2593948
218,293000311,B5번 B5(집현동방면),293064051,세종충남대병원,23,36.5186505,127.2570215
219,293000311,B5번 B5(집현동방면),293064102,범지기마을10단지북측,24,36.5190968,127.2483697
220,293000311,B5번 B5(집현동방면),293064100,범지기3+9단지(청소년센터),25,36.5189667,127.2449384
221,293000311,B5번 B5(집현동방면),293064471,아름제2중(가락마을20단지),26,36.5165801,127.2413696
222,293000311,B5번 B5(집현동방면),293064203,고운뜰공원+대법원등기정보센터,27,36.5114233,127.2412918
223,293000311,B5번 B5(집현동방면),293064472,가락마을8단지+가재마을4단지,28,36.5076818,127.2411758
224,293000311,B5번 B5(집현동방면),293064473,종촌초등학교(가락마을6+ 7단지),29,36.5034395,127.2408773
225,293000311,B5번 B5(집현동방면),293064145,다빛초등학교(가온마을3단지),30,36.4995152,127.2425474
226,293000311,B5번 B5(집현동방면),293063001,가재마을5단지+가온마을6단지,31,36.49915,127.24736
227,293000311,B5번 B5(집현동방면),293062002,어진중학교(가재마을9단지),32,36.4986553,127.2550362
228,293000311,B5번 B5(집현동방면),293054001,다정동(대성고등학교),33,36.4938571,127.2561857
229,293000311,B5번 B5(집현동방면),293064436,한국산업인력공단(세종지사),34,36.4903,127.256369
230,293000311,B5번 B5(집현동방면),293053003,새롬동+나성동(청소년센터),35,36.4877395,127.2571293
231,293000311,B5번 B5(집현동방면),293053008,한솔동(첫마을),36,36.4811358,127.2615539
232,293000311,B5번 B5(집현동방면),293064221,세종고속시외버스터미널(지하),37,36.4706404,127.273189
233,293000311,B5번 B5(집현동방면),293055001,세종고속시외버스터미널(지상),38,36.469265,127.2738136
